"Unidade da Federação";"2 meses";"3 meses";"4 meses";"5 meses";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"12 anos";"1 a 2 anos";"1 a 4 anos";"2 a 4 anos";"3 a 8 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"5 a 10 anos";"7 a 11 anos";"7 a 14 anos";"7 a 17 anos";"7 anos e mais";"9 a 12 anos";"10 a 14 anos";"11 a 14 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 59 anos";"17 a 19 anos";"18 a 19 anos";"20 a 24 anos";"20 a 59 anos";"25 a 29 anos";"30 a 34 anos";"30 a 39 anos";"35 a 39 anos";"40 a 44 anos";"40 a 49 anos";"45 a 49 anos";"50 a 59 anos";"60 anos e mais";"Gestantes 12 a 14 anos";"Gestantes 15 a 49 anos";"Não gestantes 12 a 14 anos";"Não gestantes 15 a 49 anos";"Homens 12 a 14 anos";"Homens 12 a 49 anos";"Homens 15 a 49 anos";" Total"
"11 Rondônia";"26171";"1337";"22017";"1310";"533002";"132242";"3873";"2224";"48771";"0";"479";"1159";"2469";"167";"1647";"10100";"2332";"314";"561";"5815";"16";"6";"7";"3542";"18831";"1034";"300";"4726";"561";"8825";"52254";"1318";"12";"24682";"23586";"20329";"1336";"15739";"718";"365";"6309";"311";"9844";"20312";"1255";"26069";"4164";"29195";"3621";"0";"57370";"1132627"
"12 Acre";"13532";"1757";"10287";"2146";"302118";"70961";"9106";"6121";"26079";"0";"306";"391";"1047";"403";"1260";"10356";"871";"409";"2707";"10111";"173";"3";"88";"1326";"11856";"3751";"238";"1717";"368";"9123";"22270";"411";"2";"18796";"7768";"7818";"183";"8996";"166";"78";"4528";"48";"7388";"8458";"1339";"16564";"4430";"14863";"4771";"1";"24652";"652141"
"13 Amazonas";"61298";"8183";"43540";"7837";"1440671";"362933";"44735";"21569";"117663";"0";"3791";"4505";"7748";"2847";"7095";"51563";"5568";"2383";"4139";"24754";"86";"0";"40";"11183";"50989";"6174";"4619";"13626";"5315";"26937";"112377";"11074";"0";"53954";"36519";"38398";"9890";"16508";"6447";"2692";"7111";"1697";"21109";"31159";"6064";"84135";"18976";"79736";"14785";"286";"115013";"3009721"
"14 Roraima";"8281";"723";"6521";"581";"174491";"42151";"2918";"1461";"18201";"0";"525";"485";"2204";"754";"430";"2658";"907";"252";"685";"3105";"4";"1";"1";"1200";"6305";"2342";"907";"1750";"1419";"5858";"13191";"2668";"0";"10526";"6551";"8188";"1965";"7611";"1125";"814";"4227";"544";"4793";"5474";"514";"7332";"1822";"11253";"1331";"0";"11541";"388590"
"15 Pará";"115580";"14732";"89518";"16021";"2624522";"668843";"62233";"34513";"255899";"0";"3944";"6850";"9789";"3450";"7381";"81749";"9367";"2329";"7610";"46487";"795";"54";"124";"18039";"66697";"21609";"4147";"23261";"4697";"66027";"152133";"7975";"40";"115489";"96200";"66926";"6198";"34002";"3613";"1556";"11891";"1223";"34659";"59064";"11920";"157852";"31404";"108260";"27790";"0";"187833";"5382295"
"16 Amapá";"12195";"1355";"8814";"1559";"259523";"67416";"8585";"4166";"24733";"0";"135";"210";"842";"138";"388";"7447";"636";"172";"478";"3076";"47";"1";"3";"930";"5500";"1749";"289";"1175";"534";"5389";"20140";"957";"0";"10088";"4068";"6115";"501";"6570";"270";"187";"3565";"218";"4570";"4420";"824";"16049";"1671";"10053";"1946";"275";"21219";"531191"
"17 Tocantins";"22583";"1258";"19010";"1692";"458270";"117727";"2412";"875";"41471";"0";"1231";"1186";"10446";"453";"1168";"4681";"5765";"325";"680";"6710";"7";"3";"7";"4036";"20829";"2134";"2150";"3461";"2096";"8381";"33900";"2914";"2";"17631";"18163";"16055";"2365";"11791";"1467";"881";"3068";"604";"8403";"18450";"1665";"20729";"4470";"24482";"3678";"0";"28835";"960600"
"21 Maranhão";"104926";"15581";"81341";"16521";"2292662";"588910";"42145";"24066";"214273";"0";"6560";"1603";"11169";"3692";"1389";"61469";"12351";"2383";"6852";"53611";"218";"76";"92";"15591";"78719";"37528";"4958";"22718";"4942";"95597";"131776";"5736";"13";"159968";"70895";"69671";"4239";"36750";"2612";"1594";"13576";"855";"37645";"53568";"14550";"152052";"35256";"116272";"29568";"0";"145541";"4884080"
"22 Piauí";"46819";"2443";"41160";"2934";"944443";"243091";"2305";"947";"89102";"0";"841";"301";"3919";"119";"436";"13160";"3173";"337";"574";"9910";"40";"14";"71";"3089";"26826";"11772";"1374";"3627";"1478";"27504";"45285";"2159";"3";"48491";"24683";"37755";"1635";"22612";"1228";"244";"6740";"192";"13504";"26872";"2323";"56135";"8960";"38037";"7218";"0";"53711";"1879596"
"23 Ceará";"120482";"5280";"110651";"5835";"2311152";"602938";"9300";"6085";"228654";"8";"1544";"2144";"30868";"382";"2354";"28980";"9217";"438";"4597";"25156";"223";"2";"171";"13061";"1317";"67481";"2472";"16182";"4388";"114289";"15107";"8364";"1";"172048";"71567";"127496";"7689";"71630";"4360";"1591";"31851";"892";"53792";"67775";"6960";"140734";"32434";"137495";"26792";"0";"182264";"4886493"
"24 Rio Grande do Norte";"44888";"3746";"36768";"4014";"885380";"226852";"8228";"3915";"77245";"0";"508";"695";"1738";"337";"842";"21960";"1719";"189";"1072";"9612";"39";"3";"60";"2126";"467";"10450";"318";"3274";"269";"32543";"9148";"648";"2";"56895";"20751";"33956";"718";"23128";"458";"232";"10015";"223";"19713";"24667";"2482";"54356";"7329";"46029";"7229";"0";"73216";"1770452"
"25 Paraíba";"50972";"5156";"42457";"5330";"1010194";"258883";"7659";"2535";"79090";"0";"388";"512";"1899";"256";"1062";"18544";"1924";"149";"896";"7580";"91";"3";"42";"3412";"466";"6675";"357";"6499";"621";"31322";"6150";"1671";"0";"62046";"36062";"34135";"1710";"20511";"1013";"659";"6641";"490";"14511";"18851";"3815";"63034";"6286";"41943";"6461";"565";"70231";"1941759"
"26 Pernambuco";"138638";"9651";"118355";"10021";"2674574";"693253";"18936";"10223";"243558";"0";"1744";"1650";"10305";"849";"2164";"62365";"10515";"519";"3096";"34222";"146";"5";"253";"13069";"1445";"14288";"1697";"17615";"2015";"68438";"20911";"3655";"8";"165514";"88505";"75215";"4278";"48133";"3386";"1562";"16476";"1446";"51492";"57651";"11934";"188905";"19084";"133862";"21777";"173";"228868";"5306444"
"27 Alagoas";"48340";"4693";"37727";"4194";"953124";"247791";"8665";"5187";"94626";"1";"1828";"122";"2937";"201";"120";"17574";"2944";"134";"1838";"9405";"23";"3";"46";"3352";"433";"10664";"1089";"4316";"1493";"39730";"5664";"2470";"1";"68733";"28664";"26879";"1773";"16638";"1012";"514";"7587";"538";"20597";"22031";"4811";"70809";"12829";"60689";"9448";"0";"84305";"1948592"
"28 Sergipe";"32969";"1197";"30289";"1176";"621012";"169877";"896";"432";"63872";"0";"321";"138";"1082";"60";"789";"5171";"1398";"68";"370";"3542";"21";"18";"29";"2385";"336";"5658";"342";"4432";"916";"17136";"5451";"2255";"5";"33067";"23568";"20298";"1312";"15257";"633";"313";"6099";"295";"8842";"10285";"1829";"41221";"3534";"23259";"3205";"0";"38320";"1204980"
"29 Bahia";"189874";"15607";"155188";"13903";"4039395";"1032513";"28000";"13950";"289277";"17";"4823";"11518";"13497";"2896";"9929";"152610";"13110";"3197";"4719";"39467";"253";"57";"215";"19450";"88863";"25056";"4826";"22843";"5842";"111220";"219688";"10440";"18";"259739";"115270";"135196";"11700";"84261";"7393";"4427";"29349";"4393";"92234";"150387";"13954";"245131";"34989";"221160";"26800";"153";"265061";"8243858"
"31 Minas Gerais";"250352";"7303";"227275";"9377";"4954108";"1270209";"10534";"5190";"309856";"5";"5431";"68596";"52011";"1291";"41174";"351945";"29041";"3593";"2698";"15729";"246";"96";"1346";"41707";"169766";"10047";"5450";"66106";"5266";"62299";"518876";"11616";"77";"198831";"404072";"179893";"18717";"181322";"12337";"8421";"77283";"7922";"167613";"444486";"5622";"223484";"19524";"347953";"18144";"1744";"440768";"11266752"
"32 Espírito Santo";"50518";"2440";"45361";"3190";"972516";"267392";"2988";"1811";"88362";"1";"699";"5544";"28150";"252";"10040";"16485";"7130";"373";"1316";"8610";"25";"71";"127";"8795";"1194";"2546";"1174";"11415";"1507";"14380";"18393";"3137";"29";"43011";"81867";"28598";"3681";"29261";"2398";"1414";"11811";"1230";"32107";"52140";"1452";"50170";"4954";"68954";"4658";"0";"96423";"2090100"
"33 Rio de Janeiro";"201234";"13430";"165123";"13901";"3812602";"983801";"38573";"20498";"319513";"12";"2497";"12549";"20365";"1428";"13068";"109348";"14160";"1921";"6747";"47440";"137";"114";"659";"21544";"4267";"15536";"2701";"27079";"3280";"60650";"75429";"6730";"40";"152704";"164971";"109400";"12174";"105130";"8107";"5686";"59093";"4558";"143819";"180453";"9981";"189993";"34359";"279793";"31140";"0";"381485";"7889222"
"35 São Paulo";"579336";"21290";"517837";"30026";"11186286";"2984563";"31233";"18801";"612506";"0";"6724";"96069";"247751";"10087";"287702";"824161";"63676";"14725";"8896";"40634";"334";"396";"5874";"115606";"72108";"19229";"17055";"176508";"109093";"219261";"422909";"74710";"463";"481333";"1107713";"555796";"112282";"474497";"75684";"53954";"207922";"42125";"429143";"899695";"14355";"495896";"46579";"884352";"36370";"0";"951256";"25684801"
"41 Paraná";"144619";"5335";"130304";"6451";"2875677";"721645";"14953";"5293";"217556";"0";"1213";"63405";"74635";"1821";"187139";"31853";"15470";"3054";"2292";"23538";"5";"83";"176";"74623";"58725";"4767";"2109";"84842";"3583";"34717";"194854";"11666";"42";"88223";"365781";"91289";"10690";"92102";"7285";"4037";"47169";"3306";"93608";"211520";"3662";"106491";"14411";"172647";"14210";"1427";"208557";"6532860"
"42 Santa Catarina";"84357";"2506";"76970";"3496";"1600599";"425790";"3815";"3916";"160942";"0";"743";"13023";"21562";"1076";"83307";"5744";"5384";"7812";"1616";"6225";"14";"48";"469";"43002";"15599";"2616";"2291";"64715";"6643";"17410";"115475";"13436";"16";"56386";"350891";"63672";"9828";"49149";"5978";"4499";"22953";"3889";"76875";"138600";"1803";"70393";"6666";"150166";"7118";"12";"183488";"3992983"
"43 Rio Grande do Sul";"126280";"6174";"105403";"6818";"2350311";"609221";"34964";"22993";"212093";"8";"1701";"24881";"16895";"872";"149758";"49942";"6240";"18783";"2576";"21897";"45";"38";"370";"102622";"15825";"4958";"1151";"127691";"1324";"45612";"80207";"4556";"15";"113026";"725090";"45833";"3093";"54429";"1957";"1451";"23046";"1416";"76170";"132876";"2940";"81775";"10862";"125722";"11498";"157";"175125";"5738690"
"50 Mato Grosso do Sul";"38820";"1947";"33772";"3013";"792679";"199954";"3845";"1994";"65249";"0";"1375";"3944";"8257";"1311";"10035";"16987";"3218";"647";"1420";"11920";"43";"9";"98";"8528";"26231";"5811";"1888";"12464";"2472";"21757";"73615";"5289";"5";"43155";"56954";"37892";"5120";"34616";"3228";"2193";"14436";"2056";"26206";"55846";"1508";"36317";"6523";"50557";"6282";"3";"73691";"1815180"
"51 Mato Grosso";"46958";"2203";"40836";"2811";"943884";"226765";"5217";"3174";"88745";"4";"1609";"1920";"4153";"467";"2095";"10184";"3139";"416";"971";"10056";"64";"6";"331";"4493";"30098";"5824";"1203";"6061";"1174";"21675";"78030";"3033";"0";"61139";"33349";"28631";"3235";"19107";"2004";"855";"9341";"697";"21856";"34976";"1932";"54302";"6098";"57375";"5616";"0";"93421";"1981533"
"52 Goiás";"85853";"5802";"72137";"6919";"1717864";"450380";"9304";"4426";"150574";"0";"1915";"10498";"27316";"915";"13284";"33260";"13136";"914";"1183";"19427";"214";"22";"148";"18610";"51928";"6031";"1457";"23759";"1763";"37175";"118583";"4844";"15";"98616";"115223";"74692";"5248";"58146";"3290";"1721";"26907";"1308";"50327";"94812";"4429";"80668";"12107";"110635";"12082";"0";"157534";"3797401"
"53 Distrito Federal";"41191";"987";"36342";"1390";"769513";"235520";"3204";"1679";"20237";"2";"565";"4112";"17291";"803";"5627";"35768";"6085";"493";"428";"7181";"56";"19";"536";"7177";"24444";"876";"881";"9601";"1489";"13837";"49574";"4396";"8";"55434";"62958";"48305";"5975";"53120";"3941";"2120";"20508";"1316";"19117";"35066";"878";"35640";"5116";"34690";"4580";"0";"57319";"1747395"
"Total";"2687066";"162116";"2305003";"182466";"53500572";"13901621";"418626";"228044";"4158147";"58";"53440";"338010";"630345";"37327";"841683";"2036064";"248476";"66329";"71017";"505220";"3365";"1151";"11383";"562498";"850064";"306606";"67443";"761463";"174548";"1217092";"2611390";"208128";"817";"2669525";"4141689";"1988431";"247535";"1591016";"162110";"104060";"689502";"83792";"1539937";"2859894";"134801";"2766236";"394837";"3379432";"348118";"4796";"4407047";"116660336"
