"Unidade da Federação";"Ate 30 dias";"2 meses";"3 meses";"4 meses";"5 meses";"6 meses";"7 meses";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"1 a 4 anos";"2 a 4 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"5 a 10 anos";"5 a 12 anos";"7 a 11 anos";"7 a 14 anos";"7 a 17 anos";"7 anos e mais";"9 a 12 anos";"10 a 14 anos";"11 a 14 anos";"7 a 8 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 49 anos";"15 a 59 anos";"17 a 19 anos";"18 a 19 anos";"20 a 24 anos";"20 a 59 anos";"20 a 26 anos";"27 e mais";"25 a 29 anos";"30 a 34 anos";"30 a 39 anos";"35 a 39 anos";"40 a 44 anos";"40 a 49 anos";"45 a 49 anos";"50 a 59 anos";"60 anos e mais";"65 anos e mais";"Gestantes 10 a 11 anos";"Gestantes 12 a 14 anos";"Gestantes 15 a 49 anos";"Não gestantes 12 a 14 anos";"Não gestantes 15 a 49 anos";"Ignorado";" Total"
"24 Rio Grande do Norte";"46003";"38721";"3073";"30884";"6195";"1928";"708";"465997";"279202";"27373";"14278";"73348";"14";"14";"17640";"8760";"26178";"21216";"13829";"7501";"1565";"83";"32";"19";"20";"205";"12";"1344";"804";"2368";"40";"0";"1680";"4";"0";"5";"316";"2329";"264";"10";"676";"665";"461";"17966";"29315";"5855";"1363";"0";"22014";"2972";"106";"113";"23169";"2530";"6425";"2336";"1809";"5742";"1318";"4843";"4997";"28038";"56";"112";"36356";"1385";"104223";"18";"1398825"
"25 Paraíba";"55454";"51245";"4435";"42926";"7933";"2464";"1028";"605831";"364164";"29787";"16157";"113210";"12";"12";"25031";"13233";"45803";"36137";"20091";"11116";"1988";"29";"19";"23";"25";"140";"49";"3618";"4721";"1663";"156";"0";"3165";"13";"0";"2";"728";"1474";"614";"1";"1102";"961";"1233";"22968";"17848";"4462";"3547";"0";"33150";"6831";"128";"261";"33029";"8475";"11532";"6439";"4908";"12978";"3388";"9844";"9328";"22973";"119";"878";"52102";"4745";"118522";"31";"1856279"
"26 Pernambuco";"131190";"121762";"8382";"104724";"14927";"4827";"1543";"1452906";"910481";"75495";"44136";"304780";"621";"305";"58360";"30367";"85029";"82709";"49860";"21255";"4874";"756";"457";"579";"675";"2056";"68";"10501";"11836";"15781";"1234";"0";"14783";"198";"0";"67";"5344";"7025";"3523";"7";"5381";"7678";"6244";"61926";"59585";"38628";"13019";"0";"86360";"27514";"3732";"1230";"96768";"29953";"39128";"27669";"21728";"46918";"17418";"44673";"41266";"63008";"899";"2310";"136497";"17947";"321862";"80";"4802844"
"27 Alagoas";"46864";"47920";"3743";"37747";"6665";"2527";"903";"566658";"354804";"28447";"15584";"117964";"196";"30";"22146";"10762";"29477";"26093";"16409";"8432";"1917";"272";"133";"205";"195";"1234";"88";"3158";"8066";"4047";"615";"2";"4605";"80";"2";"13";"3139";"4426";"2485";"32";"1329";"3884";"1289";"31724";"6786";"33550";"3403";"3";"36804";"23295";"1125";"499";"36739";"8338";"21750";"7432";"5985";"25714";"4391";"21698";"24315";"19275";"352";"1366";"56737";"7345";"122712";"30";"1885955"
"28 Sergipe";"35557";"30075";"1612";"25381";"3579";"1094";"378";"345774";"218408";"16391";"9597";"81756";"6";"6";"12001";"5762";"18012";"15520";"7456";"4192";"1129";"42";"11";"12";"5";"113";"61";"970";"1028";"3225";"28";"0";"1382";"25";"0";"2";"328";"2908";"152";"0";"1112";"721";"1410";"17884";"31924";"3654";"3499";"0";"26676";"3619";"37";"58";"25535";"7831";"3342";"7171";"5607";"3512";"4469";"2995";"2620";"19343";"21";"137";"28396";"720";"89448";"13";"1135732"
"29 Bahia";"151067";"153704";"10871";"124064";"26731";"8055";"2838";"1953661";"1197904";"116650";"76449";"382474";"40";"4";"75866";"34673";"112290";"94314";"48049";"25556";"9673";"345";"243";"325";"296";"97";"110";"6205";"798";"37334";"122";"0";"12300";"5";"0";"0";"348";"10955";"406";"0";"6858";"489";"6539";"81282";"339857";"7649";"13536";"0";"102291";"2494";"1563";"1074";"118232";"28607";"3377";"28768";"21832";"4122";"16432";"8896";"6044";"170466";"182";"257";"121394";"1441";"550801";"1000";"6320305"
"31 Minas Gerais";"231741";"251420";"9522";"224387";"23486";"7355";"2037";"3076717";"1924867";"155059";"127274";"796469";"3";"0";"138895";"52627";"266197";"204152";"87601";"51941";"21497";"1886";"1350";"2265";"1982";"231";"241";"6277";"2932";"49986";"151";"0";"11442";"2";"0";"0";"646";"17578";"275";"0";"7772";"893";"11137";"74826";"1124337";"84355";"29278";"0";"164509";"8107";"12026";"2657";"228102";"91975";"7546";"118412";"102531";"12602";"87859";"38224";"55299";"1047843";"30";"157";"202968";"1057";"1089401";"1790";"12356184"
"32 Espírito Santo";"48917";"48762";"2974";"41221";"6620";"2491";"750";"604942";"407124";"60097";"45318";"170691";"77";"8";"25442";"12367";"47515";"34488";"17576";"13838";"3187";"332";"257";"288";"293";"243";"233";"3057";"7011";"18190";"255";"5";"3040";"34";"3";"69";"1088";"3368";"487";"113";"1520";"1196";"1998";"16456";"43262";"7310";"5626";"0";"31782";"8150";"2249";"935";"37678";"13765";"9874";"17813";"15314";"15380";"12662";"13171";"16702";"77051";"62";"266";"50456";"3375";"160376";"171";"2197371"
"33 Rio de Janeiro";"179415";"185038";"17436";"158214";"25641";"11575";"4440";"2324660";"1487085";"183313";"127350";"465524";"249";"86";"55464";"33662";"85430";"95049";"61358";"39701";"8790";"2846";"2231";"2860";"2622";"3833";"575";"21744";"23400";"214201";"2499";"47";"19914";"40";"39";"659";"9094";"245363";"4443";"140";"3190";"10227";"2974";"52126";"563315";"1568718";"6973";"29";"75469";"57244";"17966";"3606";"94377";"22521";"86082";"26473";"23310";"106942";"18781";"83442";"222770";"125460";"707";"4197";"168657";"31594";"446727";"1095";"9931002"
"35 São Paulo";"542856";"559842";"18719";"497564";"46028";"23746";"5112";"6655060";"4146106";"391660";"295323";"1489152";"2514";"330";"240993";"106329";"369927";"333542";"170693";"98927";"38238";"2661";"1911";"1913";"1824";"1404";"2130";"32536";"22205";"636521";"822";"844";"28869";"36";"111";"1863";"10628";"369961";"1432";"499";"13834";"15136";"29773";"116306";"2973459";"309463";"52949";"159";"278337";"102832";"11356";"11977";"393765";"134437";"58509";"156784";"141882";"104216";"119474";"209696";"196664";"1336511";"172";"447";"396496";"6200";"1925871";"3060";"26250596"
"41 Paraná";"102774";"143091";"5583";"124050";"14961";"5651";"1407";"1730976";"1084393";"152467";"133020";"498419";"0";"0";"78870";"45957";"199221";"172950";"109843";"83102";"19717";"7587";"4469";"5172";"4384";"12";"376";"4727";"294";"49341";"0";"0";"14233";"0";"0";"0";"185";"59801";"1";"0";"10128";"306";"13564";"45368";"335411";"70";"16238";"0";"68926";"5639";"24910";"3031";"86094";"32921";"81";"42208";"36983";"214";"30978";"7085";"12732";"187277";"12";"3";"125333";"60";"525313";"545";"6468464"
"42 Santa Catarina";"77543";"88601";"3634";"77909";"9845";"3545";"964";"1056129";"678972";"108881";"96382";"328196";"5";"0";"39096";"16067";"71633";"57393";"24902";"20158";"6798";"384";"176";"243";"177";"9";"411";"2313";"252";"124047";"2";"0";"4315";"0";"0";"0";"248";"54089";"13";"0";"2718";"255";"3299";"21732";"322592";"857";"8540";"0";"41861";"4351";"1231";"608";"63500";"23124";"350";"29451";"23647";"470";"19790";"13262";"11908";"203631";"5";"5";"72412";"32";"341766";"363";"4165092"
"43 Rio Grande do Sul";"107542";"123281";"6090";"108273";"15379";"5859";"1613";"1475017";"877730";"74981";"40891";"340181";"7";"8";"43142";"21956";"76787";"64502";"29698";"20595";"8561";"900";"704";"1010";"992";"15";"165";"3696";"1039";"23505";"25";"20";"7039";"1";"2";"0";"486";"19884";"28";"15";"3689";"800";"6657";"39154";"194589";"634";"16779";"0";"61166";"13271";"4747";"1598";"72175";"32202";"1348";"38582";"30123";"1820";"23943";"9116";"11468";"142215";"20";"18";"93491";"390";"330075";"406";"4632095"
"50 Mato Grosso do Sul";"53003";"40387";"2745";"34081";"5097";"2188";"653";"516999";"312371";"39943";"31225";"121127";"5";"6";"15374";"8599";"25750";"23782";"12243";"7361";"1606";"368";"285";"322";"402";"1062";"146";"2579";"3293";"6748";"351";"24";"2700";"20";"18";"112";"1185";"2194";"545";"35";"1158";"1407";"1249";"18566";"34072";"13018";"3299";"23";"23870";"9023";"1930";"589";"26245";"6045";"14033";"5561";"4322";"24266";"3582";"21856";"26093";"28644";"50";"506";"38287";"3768";"112640";"384";"1701420"
"51 Mato Grosso";"52211";"47693";"3928";"38229";"8002";"3032";"1059";"612782";"343810";"37028";"26048";"128921";"21";"0";"20290";"10412";"30520";"30726";"14694";"7978";"2411";"368";"289";"375";"356";"328";"70";"2725";"2924";"5683";"231";"27";"4074";"22";"0";"1";"1010";"4658";"598";"8";"3073";"1539";"2514";"31550";"74417";"16164";"4438";"1";"40286";"7227";"1875";"743";"42523";"8652";"8213";"7896";"5958";"10200";"4608";"7559";"5444";"38882";"63";"322";"44657";"2117";"182565";"377";"1997405"
"52 Goiás";"75538";"82142";"5113";"68169";"12396";"4258";"1265";"1032730";"609206";"51706";"29116";"218562";"39";"0";"34135";"18197";"67845";"54198";"26833";"17905";"3680";"345";"198";"251";"290";"15";"172";"1942";"285";"2885";"40";"25";"3244";"0";"1";"0";"231";"2762";"174";"5";"1858";"303";"1944";"34782";"113226";"2312";"6630";"8";"56862";"3618";"1081";"1304";"62449";"16013";"1275";"15163";"11642";"1720";"8627";"4820";"6480";"64903";"93";"273";"70032";"818";"248996";"583";"3163713"
"53 Distrito Federal";"48263";"37846";"1225";"33579";"3529";"1748";"365";"462991";"269733";"27054";"19084";"116177";"12";"5";"14429";"7187";"30773";"24642";"10628";"4954";"1844";"14";"9";"17";"15";"11";"12";"559";"130";"5550";"41";"0";"1562";"1";"0";"2";"58";"1104";"18";"0";"916";"58";"1121";"11082";"65636";"692";"4289";"1";"27067";"615";"84";"160";"31466";"9626";"396";"10334";"7908";"538";"5758";"1456";"1498";"33253";"4";"0";"30530";"22";"120461";"303";"1490445"
"Total";"2525085";"2558688";"157884";"2162434";"329926";"127262";"40123";"31393323";"19212731";"2073020";"1472119";"7008423";"4230";"881";"1163539";"569419";"2000512";"1734589";"912844";"541702";"162157";"20915";"14094";"17573";"16422";"13225";"5198";"152985";"125022";"1279289";"8606";"994";"232923";"914";"185";"2822";"53296";"847940";"22820";"933";"127758";"71547";"164139";"999244";"6921685";"2161142";"317716";"227";"1678957";"371666";"96907";"36917";"1975456";"663700";"325975";"717920";"595461";"432620";"478895";"580719";"728597";"3907691";"3612";"13855";"2248065";"103598";"8214598";"13239";"112918953"
