"Unidade da Federação";"Ate 30 dias";"2 meses";"3 meses";"4 meses";"5 meses";"6 meses";"7 meses";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"1 a 4 anos";"2 a 4 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"5 a 10 anos";"5 a 12 anos";"7 a 11 anos";"7 a 14 anos";"7 a 17 anos";"7 anos e mais";"9 a 12 anos";"10 a 14 anos";"11 a 14 anos";"7 a 8 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 49 anos";"15 a 59 anos";"17 a 19 anos";"18 a 19 anos";"20 a 24 anos";"20 a 59 anos";"20 a 26 anos";"27 e mais";"25 a 29 anos";"30 a 34 anos";"30 a 39 anos";"35 a 39 anos";"40 a 44 anos";"40 a 49 anos";"45 a 49 anos";"50 a 59 anos";"60 anos e mais";"65 anos e mais";"Gestantes 10 a 11 anos";"Gestantes 12 a 14 anos";"Gestantes 15 a 49 anos";"Não gestantes 12 a 14 anos";"Não gestantes 15 a 49 anos";"Ignorado";" Total"
"11 Rondônia";"24369";"24136";"1453";"21262";"3494";"1068";"367";"318862";"174563";"13094";"7685";"58800";"0";"0";"9802";"5567";"18441";"15980";"8494";"4869";"1708";"206";"194";"281";"308";"7";"21";"1552";"50";"2184";"0";"0";"3660";"0";"0";"0";"60";"1286";"0";"0";"2029";"137";"2295";"10238";"43682";"37";"5964";"0";"29323";"1281";"1885";"287";"33038";"15327";"7";"13997";"10937";"6";"8391";"3842";"1569";"24545";"4";"4";"17807";"52";"91611";"335";"1042453"
"12 Acre";"14935";"12740";"1558";"9169";"2744";"1127";"450";"164095";"92312";"19133";"13459";"33054";"4";"0";"4421";"2900";"6940";"5755";"3497";"1820";"478";"18";"7";"11";"5";"2";"18";"1838";"236";"3498";"22";"0";"1490";"0";"0";"5";"394";"692";"13";"1";"482";"274";"406";"5178";"10024";"56";"569";"0";"4775";"585";"25";"48";"4143";"802";"76";"753";"529";"96";"307";"275";"379";"3054";"10";"7";"10701";"115";"26346";"106";"468962"
"13 Amazonas";"68940";"58494";"7075";"41318";"13583";"5384";"2179";"840501";"484565";"84380";"53364";"184432";"5";"3";"36081";"21044";"75336";"70796";"34259";"15697";"3836";"85";"77";"94";"140";"66";"5";"16100";"13079";"10476";"110";"0";"42390";"3";"0";"2";"10711";"6175";"187";"0";"30576";"14410";"39538";"34592";"119252";"650";"67625";"0";"161124";"31584";"402";"155";"167062";"100873";"589";"94435";"74668";"778";"54840";"26471";"17657";"32903";"42";"272";"65267";"1976";"275361";"321";"3614395"
"14 Roraima";"14625";"9859";"1381";"7123";"1841";"1117";"361";"143856";"83629";"16190";"11622";"32928";"103";"9";"5447";"3701";"9289";"13323";"6698";"3963";"564";"145";"85";"40";"78";"103";"19";"5194";"2614";"6638";"1079";"0";"11281";"10";"0";"0";"1318";"3664";"1399";"27";"8466";"2169";"11628";"18340";"42208";"7743";"18070";"0";"44499";"6873";"167";"175";"40697";"15650";"5195";"13438";"10651";"6842";"7708";"5803";"4741";"4096";"55";"303";"8911";"3777";"74346";"156";"764030"
"15 Pará";"106250";"93532";"13281";"63996";"23787";"9470";"4053";"1250057";"707039";"103813";"61350";"213804";"36";"0";"45038";"26538";"61597";"57441";"31144";"16205";"4700";"234";"203";"272";"234";"5";"53";"6753";"84";"13334";"22";"0";"11120";"0";"0";"0";"74";"7245";"56";"0";"5512";"77";"4234";"63642";"112041";"796";"7711";"0";"66400";"677";"1488";"857";"63261";"13752";"117";"12752";"9141";"184";"6545";"2268";"1472";"41290";"49";"16";"101697";"228";"239062";"752";"3688841"
"16 Amapá";"15062";"12162";"1729";"7556";"3125";"1389";"596";"156206";"87511";"18941";"12397";"30483";"0";"0";"5357";"3240";"7303";"6275";"3464";"1915";"631";"26";"23";"22";"24";"15";"0";"1181";"6";"1305";"0";"0";"1523";"0";"0";"0";"9";"809";"0";"0";"647";"16";"500";"6018";"13214";"0";"932";"0";"6347";"152";"122";"72";"5618";"1035";"0";"956";"689";"0";"460";"249";"141";"3258";"4";"0";"11352";"0";"25397";"91";"457555"
"17 Tocantins";"24031";"22075";"1875";"16885";"4180";"1321";"402";"276338";"153439";"15995";"10348";"56377";"0";"0";"10323";"4165";"14110";"12138";"5545";"3613";"1270";"116";"112";"161";"153";"6";"20";"316";"11";"1605";"0";"0";"784";"0";"0";"0";"12";"580";"0";"0";"683";"32";"753";"7038";"20278";"0";"2934";"0";"14914";"294";"1012";"172";"15451";"4473";"0";"3922";"2926";"0";"2157";"1113";"740";"23897";"7";"0";"19321";"0";"63466";"106";"823995"
"21 Maranhão";"104938";"90403";"9461";"65430";"18423";"6905";"2670";"1169832";"637805";"84892";"50706";"200708";"95";"0";"48662";"25986";"86007";"71375";"40019";"18959";"3869";"84";"76";"41";"41";"750";"7";"5888";"2172";"10011";"227";"0";"11167";"65";"0";"2";"1167";"9656";"699";"0";"6966";"1422";"5384";"79552";"123971";"22821";"8229";"0";"66736";"6907";"298";"559";"64337";"11742";"11407";"9961";"6894";"12498";"4805";"10583";"6713";"64876";"179";"550";"94291";"3714";"274507";"752";"3679852"
"22 Piauí";"43870";"38831";"2728";"32001";"6202";"1812";"620";"500181";"316374";"46321";"35551";"112705";"80";"10";"19071";"9237";"29296";"24769";"13025";"7465";"2097";"96";"47";"65";"72";"55";"38";"1033";"1117";"8004";"24";"0";"1636";"8";"0";"0";"220";"2311";"85";"0";"1017";"200";"835";"15272";"44060";"1548";"1667";"0";"19647";"1820";"608";"305";"21042";"3271";"1696";"2803";"2150";"1474";"1573";"1821";"2046";"29391";"31";"96";"42438";"458";"90076";"261";"1544663"
"23 Ceará";"122127";"144926";"8258";"126292";"15533";"5326";"1362";"1633565";"1009134";"93929";"68405";"338181";"86";"45";"62163";"30124";"103806";"85324";"44936";"22684";"5529";"687";"496";"707";"814";"1208";"98";"5179";"14635";"21159";"510";"0";"9525";"347";"9";"18";"4269";"5643";"4923";"40";"5066";"6292";"5160";"63676";"63324";"30100";"10609";"3";"87762";"34691";"4754";"3844";"88961";"19760";"33627";"16411";"11387";"33388";"8631";"25658";"37511";"71608";"384";"1353";"151479";"10262";"262667";"110";"5080480"
