"Unidade da Federação";"Ate 30 dias";"2 meses";"3 meses";"4 meses";"5 meses";"6 meses";"7 meses";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"1 a 4 anos";"2 a 4 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"5 a 10 anos";"7 a 9 anos";"7 a 11 anos";"7 a 14 anos";"7 a 17 anos";"7 anos e mais";"9 a 12 anos";"10 a 11 anos";"10 a 14 anos";"11 a 14 anos";"7 a 8 anos";"12 a 14 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 49 anos";"15 a 59 anos";"17 a 19 anos";"18 a 19 anos";"20 a 24 anos";"20 a 59 anos";"20 a 25 anos";"20 a 26 anos";"26 a 27 anos";"27 e mais";"25 a 29 anos";"30 a 34 anos";"30 a 39 anos";"35 a 39 anos";"40 a 44 anos";"40 a 49 anos";"45 a 49 anos";"50 a 59 anos";"60 anos e mais";"65 anos e mais";"Gestantes 10 a 11 anos";"Gestantes 12 a 14 anos";"Gestantes 15 a 49 anos";"Não gestantes 12 a 14 anos";"Não gestantes 15 a 49 anos";"Homens 12 a 14 anos";"Homens 15 a 49 anos";" Total"
"11 Rondônia";"28335";"28921";"930";"24128";"2216";"728";"285";"384174";"198746";"5597";"3500";"64381";"60";"1";"14654";"16231";"14384";"5579";"3512";"1195";"156";"22";"11";"17";"13";"1747";"85";"3023";"2558";"9700";"564";"34";"4658";"145";"0";"4";"2589";"154";"19880";"827";"7";"351";"217";"4201";"325";"12202";"964";"39361";"832";"0";"14058";"21038";"0";"63";"0";"68";"17071";"878";"22178";"533";"319";"27702";"150";"14923";"16032";"37";"208";"1312";"42061";"16497";"113014";"0";"0";"1210346"
"12 Acre";"11913";"13734";"673";"9340";"2710";"959";"393";"213269";"91872";"10601";"7411";"27315";"3";"0";"9562";"10448";"9459";"3342";"2070";"950";"136";"19";"19";"15";"13";"112";"38";"1679";"313";"4704";"563";"0";"2277";"13";"0";"0";"323";"2";"5289";"764";"0";"2";"102";"426";"87";"7670";"4384";"4015";"150";"0";"5590";"1715";"0";"64";"0";"182";"3265";"162";"4367";"111";"81";"1296";"38";"1565";"1770";"8219";"44";"535";"10158";"2671";"36773";"0";"23";"537768"
"13 Amazonas";"79721";"69732";"6326";"46758";"11182";"4741";"2485";"1050321";"522336";"51180";"28837";"158447";"108";"5";"36541";"35820";"29776";"9577";"2922";"353";"123";"58";"41";"48";"35";"1089";"202";"21463";"9539";"33530";"2050";"5";"15158";"34";"0";"0";"10107";"32";"47749";"3480";"69";"19";"2637";"12470";"3870";"32386";"17548";"74868";"9382";"0";"31826";"39919";"6";"306";"0";"195";"31435";"7855";"26820";"5768";"2687";"21738";"1622";"16988";"24563";"3773";"393";"5200";"110391";"32111";"278867";"2";"52";"3087677"
"14 Roraima";"8025";"10129";"917";"7774";"1348";"328";"172";"153183";"78953";"7566";"5510";"29173";"113";"4";"6358";"6104";"6298";"4057";"2505";"673";"67";"4";"0";"1";"4";"614";"260";"1803";"1200";"8910";"724";"0";"3235";"12";"2";"2";"1108";"128";"8440";"2997";"46";"211";"1181";"2032";"1411";"11382";"2";"17363";"3218";"1";"10565";"6920";"0";"14";"0";"1";"9411";"2682";"8452";"1752";"1236";"8602";"968";"4993";"5266";"0";"106";"690";"16564";"4978";"38697";"0";"0";"517445"
"15 Pará";"113662";"94563";"2867";"68715";"20620";"7454";"2832";"1447595";"686179";"50603";"32327";"180283";"6";"2";"51905";"58290";"53642";"18858";"9622";"4834";"728";"150";"89";"86";"100";"906";"130";"9706";"1560";"40794";"283";"0";"7825";"74";"0";"16";"1978";"66";"43854";"1219";"14";"89";"1518";"3572";"1168";"78454";"57443";"12703";"2210";"1";"54469";"9933";"4";"365";"6";"338";"45243";"2118";"40438";"1573";"895";"6342";"574";"5722";"6554";"26016";"108";"2168";"80791";"12268";"322279";"3";"224";"3790026"
"16 Amapá";"15353";"13015";"1157";"8223";"2355";"956";"386";"193393";"93893";"7388";"4334";"23035";"16";"0";"7462";"7609";"7621";"2252";"1645";"1144";"47";"7";"10";"4";"5";"406";"2";"2502";"486";"4177";"308";"0";"2231";"9";"0";"0";"760";"22";"4446";"577";"0";"28";"115";"992";"254";"7500";"1712";"8183";"508";"0";"6250";"3313";"8";"42";"0";"16";"5331";"277";"5562";"138";"69";"3430";"49";"2149";"2124";"600";"100";"747";"22509";"2795";"36401";"0";"6";"518444"
"17 Tocantins";"22770";"22175";"190";"17425";"3387";"1092";"358";"324037";"151800";"5023";"2882";"53745";"14";"9";"15176";"15026";"13302";"3697";"1881";"1261";"228";"14";"17";"17";"11";"361";"3";"596";"588";"24704";"123";"0";"1325";"31";"0";"1";"469";"32";"18564";"204";"1";"44";"427";"681";"771";"10304";"27551";"9062";"1811";"0";"10718";"3994";"0";"40";"0";"48";"12526";"1942";"19502";"1369";"952";"7808";"727";"3193";"2634";"9469";"31";"299";"15074";"1752";"83097";"6";"73";"928444"
"21 Maranhão";"107144";"99718";"8123";"73470";"16883";"6539";"2732";"1480302";"716345";"44202";"27492";"244998";"364";"66";"67938";"72450";"67278";"26998";"16135";"3433";"510";"126";"79";"87";"121";"3957";"361";"15245";"7891";"50698";"2726";"20";"23673";"631";"3";"29";"8910";"193";"58661";"14001";"174";"215";"3997";"10786";"2836";"118240";"19770";"60637";"3735";"1";"75034";"37319";"0";"852";"0";"1025";"70079";"2233";"67894";"1356";"678";"49926";"529";"24093";"24671";"15369";"953";"10087";"180411";"45632";"348667";"6";"151";"4447888"
"22 Piauí";"37656";"38402";"385";"31805";"4856";"1324";"460";"548520";"281267";"22830";"20590";"100296";"14";"7";"24578";"28064";"23193";"6244";"2273";"1187";"219";"46";"31";"30";"42";"536";"4";"1290";"632";"16213";"106";"0";"1934";"54";"0";"0";"709";"122";"14341";"575";"3";"114";"746";"1028";"752";"25188";"15836";"5169";"1506";"0";"22075";"6371";"0";"239";"0";"3054";"23995";"1501";"35921";"918";"555";"6010";"394";"3437";"5089";"117500";"68";"552";"36052";"3009";"137153";"1";"55";"1665126"
"23 Ceará";"120697";"132607";"5675";"120134";"7372";"3043";"748";"1891815";"952685";"42885";"30703";"231132";"306";"52";"92875";"97001";"91348";"116019";"20767";"5483";"668";"70";"64";"59";"69";"6172";"322";"121627";"12594";"1378";"1665";"13";"252841";"920";"2";"10";"14119";"297";"1536";"11336";"63";"1008";"119544";"20698";"136041";"117038";"3183";"18193";"194984";"0";"365075";"82672";"2";"436";"0";"1080";"396630";"146366";"108086";"112974";"82260";"102028";"75545";"68668";"75770";"7976";"817";"13224";"259074";"41058";"375544";"6";"4157";"7319309"
