"Unidade da Federação";"Ate 30 dias";"2 meses";"3 meses";"4 meses";"5 meses";"6 meses";"7 meses";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"1 a 4 anos";"2 a 4 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"5 a 10 anos";"7 a 9 anos";"7 a 11 anos";"7 a 14 anos";"7 a 17 anos";"7 anos e mais";"9 a 12 anos";"10 a 11 anos";"10 a 14 anos";"11 a 14 anos";"7 a 8 anos";"12 a 14 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 49 anos";"15 a 59 anos";"17 a 19 anos";"18 a 19 anos";"20 a 24 anos";"20 a 59 anos";"20 a 25 anos";"20 a 26 anos";"26 a 27 anos";"27 e mais";"25 a 29 anos";"30 a 34 anos";"30 a 39 anos";"35 a 39 anos";"40 a 44 anos";"40 a 49 anos";"45 a 49 anos";"50 a 59 anos";"60 anos e mais";"65 anos e mais";"Gestantes 10 a 11 anos";"Gestantes 12 a 14 anos";"Gestantes 15 a 49 anos";"Não gestantes 12 a 14 anos";"Não gestantes 15 a 49 anos";"Homens 12 a 14 anos";"Homens 15 a 49 anos";" Total"
"24 Rio Grande do Norte";"44117";"41996";"3031";"32129";"4838";"1619";"521";"571482";"297743";"13052";"6451";"62169";"154";"36";"20840";"22086";"20772";"8986";"5643";"1757";"167";"65";"29";"34";"47";"1110";"115";"5743";"2182";"274";"411";"7";"5112";"35";"3";"8";"1973";"105";"438";"2268";"128";"152";"375";"3128";"377";"30730";"1099";"8705";"1002";"1";"31645";"18543";"8";"198";"0";"187";"32079";"1246";"36317";"851";"351";"33252";"264";"20399";"20885";"3447";"447";"2085";"75283";"13065";"157054";"2";"15";"1672868"
"25 Paraíba";"49613";"47692";"3308";"39101";"8773";"2190";"795";"666117";"333038";"10235";"4860";"77153";"27";"24";"32738";"35869";"32073";"7077";"2645";"1168";"191";"29";"18";"18";"17";"472";"34";"2899";"938";"542";"128";"0";"2182";"87";"0";"0";"957";"32";"788";"1722";"23";"38";"263";"2204";"698";"39304";"1883";"4065";"3292";"0";"34620";"14717";"0";"90";"0";"73";"34036";"2668";"29775";"1697";"863";"15774";"705";"8704";"8159";"8056";"100";"1603";"67312";"8094";"177505";"2";"81";"1831954"
"26 Pernambuco";"123413";"140025";"8818";"119065";"11994";"2271";"744";"2047897";"999632";"60179";"41837";"255351";"775";"153";"94533";"98743";"94259";"37987";"25296";"7020";"508";"53";"33";"33";"36";"4414";"1063";"19728";"7849";"9375";"2015";"10";"19169";"623";"1";"47";"9157";"394";"1633";"6539";"312";"541";"1337";"13397";"2260";"105692";"2244";"16595";"5143";"5";"100292";"54578";"2";"302";"0";"136";"95115";"7227";"96193";"5228";"2999";"73966";"1992";"53798";"54014";"74135";"1704";"13391";"288999";"49901";"470162";"0";"54";"5844386"
"27 Alagoas";"48858";"49326";"4148";"35810";"6606";"2307";"1036";"633182";"348063";"12378";"7530";"86331";"52";"6";"36378";"36963";"35991";"2235327";"7294";"1631";"204";"43";"50";"68";"43";"1588";"95";"4518";"3382";"945";"1125";"20";"4895";"69";"1";"0";"3446";"169";"754";"4093";"41";"109";"912";"5157";"1867";"42562";"877";"4933";"3896";"3";"35505";"20742";"4";"349";"0";"362";"32371";"2955";"30865";"1632";"1754";"28164";"830";"18470";"18181";"3091";"393";"3903";"90117";"19966";"146457";"0";"8";"4131201"
"28 Sergipe";"37865";"32542";"630";"27993";"2147";"569";"256";"404739";"220156";"4352";"2840";"56328";"65";"1";"20449";"20944";"17675";"5616";"3521";"1342";"149";"15";"12";"13";"6";"746";"1";"938";"1181";"287";"94";"0";"1461";"92";"0";"0";"1230";"126";"221";"852";"0";"123";"366";"2020";"1424";"27754";"1322";"3443";"3099";"0";"25427";"11685";"6";"65";"0";"38";"23395";"2629";"23641";"1239";"417";"15394";"122";"8651";"7806";"3614";"102";"1233";"52595";"4734";"113004";"0";"51";"1202853"
"29 Bahia";"177207";"183175";"9254";"143937";"19989";"5413";"1763";"2627646";"1319570";"53092";"35111";"430144";"1099";"207";"95365";"101851";"92267";"36623";"20611";"6271";"1112";"152";"123";"128";"160";"5164";"465";"26207";"9692";"69282";"2934";"25";"22734";"514";"6";"116";"10435";"960";"87116";"9450";"259";"1099";"3242";"13372";"4322";"124708";"36369";"82578";"8334";"0";"137812";"65979";"54";"917";"8";"540";"127731";"12120";"158824";"8019";"4945";"118592";"3923";"74678";"75448";"65458";"1336";"10879";"293237";"54168";"698757";"4";"164";"7795246"
"31 Minas Gerais";"230321";"254999";"1924";"227075";"18189";"5561";"1375";"3532319";"1792108";"52822";"38738";"633728";"1001";"45";"186232";"198260";"172310";"40388";"14776";"7401";"2546";"549";"535";"429";"394";"3478";"283";"12555";"7603";"168398";"578";"4";"7902";"136";"3";"25";"7874";"800";"186662";"1449";"74";"919";"1447";"9595";"3126";"80286";"169178";"78754";"5452";"3";"90668";"47377";"60";"1500";"12";"839";"131771";"12666";"237288";"10165";"7255";"102192";"6492";"62895";"79391";"345788";"446";"2467";"271610";"13806";"976665";"76";"43437";"10605475"
"32 Espírito Santo";"50904";"51199";"2082";"44322";"4339";"1213";"619";"671849";"371691";"7309";"3801";"86372";"116";"8";"39365";"41827";"37909";"10091";"4672";"1576";"366";"83";"67";"53";"72";"1137";"699";"4746";"3057";"798";"852";"4";"4100";"158";"6";"14";"2965";"116";"814";"1246";"101";"81";"514";"4095";"936";"17444";"4464";"9610";"2606";"0";"23083";"26500";"16";"528";"22";"669";"27804";"4041";"40587";"3001";"2066";"37414";"1598";"26070";"31380";"13341";"219";"1380";"76901";"11667";"200346";"0";"570";"2021671"
"33 Rio de Janeiro";"196234";"218501";"14432";"186538";"17885";"7355";"2414";"2850386";"1551962";"61450";"33985";"364489";"435";"97";"101539";"109722";"108669";"41002";"25671";"7882";"1136";"378";"276";"252";"412";"8763";"1331";"46151";"17075";"1811";"4604";"124";"28658";"184";"70";"3050";"17960";"328";"3589";"8366";"329";"458";"2809";"24522";"4841";"77758";"7410";"61085";"10056";"17";"104886";"108810";"14";"1959";"6";"1101";"128061";"18787";"165087";"14951";"10394";"184992";"8924";"129254";"135834";"4981";"1424";"13435";"306668";"72419";"813319";"0";"1096";"8460853"
"35 São Paulo";"565193";"601710";"15785";"544634";"17770";"19788";"2922";"7678846";"4266318";"91567";"47084";"356755";"50611";"1373";"356915";"404446";"309533";"102651";"44971";"22422";"6487";"2061";"1700";"1675";"1268";"10987";"11598";"534884";"46411";"26508";"7871";"676";"34620";"653";"120";"7602";"35883";"3919";"60837";"12880";"3068";"6152";"6781";"54966";"42955";"231736";"21812";"304034";"54493";"54";"328693";"283202";"432";"11612";"222";"6903";"434200";"102720";"645045";"78275";"55400";"784456";"39687";"426979";"546570";"484";"2119";"11435";"813653";"83995";"2629861";"0";"8";"24321936"
"41 Paraná";"141850";"153276";"2697";"134288";"12615";"5171";"970";"2094248";"1072210";"39201";"25004";"350159";"30";"48";"75848";"80457";"76539";"23815";"14418";"7182";"1727";"567";"507";"488";"532";"2121";"343";"5883";"5931";"65079";"965";"64";"7598";"72";"0";"36";"6083";"655";"77678";"1635";"174";"662";"1280";"8190";"2295";"48574";"91341";"45867";"7696";"0";"50727";"32466";"8";"2796";"2";"2328";"58099";"8572";"95028";"6929";"4420";"44982";"3829";"30866";"40480";"134352";"265";"3788";"192731";"20957";"490159";"19";"42514";"5960386"
"42 Santa Catarina";"89232";"94510";"1886";"83690";"6723";"2892";"612";"1227702";"645506";"20828";"15582";"193083";"84";"9";"61138";"64104";"52549";"14048";"6687";"2610";"1335";"215";"288";"110";"281";"431";"1800";"3773";"5251";"12754";"1365";"12";"4165";"17";"7";"111";"4750";"493";"10824";"2014";"191";"454";"1645";"9466";"3085";"31230";"25826";"34575";"6430";"5";"41739";"87984";"22";"2254";"4";"1509";"59496";"10347";"131398";"7537";"5850";"158524";"4676";"81538";"79596";"138274";"174";"876";"96346";"23637";"455771";"2";"4364";"4138296"
"43 Rio Grande do Sul";"116907";"127729";"2262";"105306";"12511";"4160";"1159";"1743089";"879124";"41537";"24457";"263710";"484";"92";"76282";"89936";"83474";"19087";"4823";"2426";"955";"382";"270";"203";"260";"1082";"2063";"10770";"15565";"25856";"1164";"29";"7883";"10";"23";"150";"15103";"100";"13762";"1323";"69";"196";"502";"29216";"1031";"51450";"33556";"14886";"4666";"5";"43507";"33758";"0";"1407";"0";"2044";"48341";"4311";"78897";"3536";"2144";"32892";"1741";"28096";"34053";"76040";"229";"1414";"99318";"12586";"411418";"31";"11878";"4758726"
"50 Mato Grosso do Sul";"49161";"48054";"1467";"40511";"5349";"1797";"508";"687892";"328786";"11534";"7869";"113128";"94";"8";"22090";"22567";"20940";"8777";"5062";"2137";"362";"143";"86";"74";"67";"1492";"462";"4108";"2822";"19239";"443";"18";"5081";"91";"1";"143";"2832";"91";"25054";"1703";"38";"88";"1040";"3128";"1206";"33556";"22256";"26582";"2915";"0";"28706";"16193";"12";"395";"0";"156";"28481";"3079";"37723";"2385";"1549";"27540";"1236";"16593";"29460";"18577";"86";"1332";"56766";"9086";"172073";"4";"3013";"1987297"
"51 Mato Grosso";"53418";"50585";"2077";"42862";"5303";"1572";"464";"731611";"357601";"13650";"8877";"110325";"159";"11";"25228";"26001";"23003";"9933";"5771";"1847";"400";"105";"104";"87";"96";"1647";"256";"3817";"3864";"21025";"934";"0";"6374";"202";"1";"9";"3939";"156";"30889";"2981";"26";"247";"1369";"4612";"1178";"36334";"18386";"45341";"2734";"0";"36922";"23533";"20";"407";"2";"194";"37357";"2877";"36476";"1805";"979";"27758";"706";"17863";"20348";"10661";"179";"1842";"77769";"15406";"233901";"1";"58";"2204475"
"52 Goiás";"78349";"82821";"3561";"68198";"12858";"5506";"1565";"1214804";"616170";"29340";"19250";"229951";"282";"127";"50192";"53975";"53022";"24261";"22993";"3264";"942";"535";"443";"424";"408";"1255";"114";"6860";"2768";"56454";"380";"109";"6910";"86";"8";"0";"3377";"190";"59692";"2982";"218";"359";"792";"5030";"1124";"54666";"118478";"26790";"4544";"7";"50309";"17062";"0";"836";"36";"473";"52672";"5116";"52933";"4029";"2388";"20108";"1740";"13044";"18151";"40926";"300";"1602";"97632";"18960";"323594";"9";"17666";"3666020"
"53 Distrito Federal";"43022";"31512";"703";"26510";"726";"1575";"201";"411379";"218786";"7837";"5874";"92393";"101";"14";"4505";"1401";"809";"670";"315";"301";"480";"257";"233";"194";"245";"1297";"239";"3889";"3479";"11778";"448";"42";"2729";"69";"0";"139";"3228";"82";"16598";"813";"147";"54";"245";"4496";"827";"14896";"1309";"29171";"2486";"0";"26220";"23322";"4";"1126";"12";"1310";"34084";"4261";"44108";"2798";"1290";"40978";"597";"19288";"17868";"354";"184";"568";"44298";"6181";"107676";"0";"3";"1325034"
"Total";"2640940";"2732648";"105308";"2309741";"241544";"98123";"28775";"37481797";"19392540";"778238";"492736";"4874374";"56573";"2405";"1626686";"1756195";"1548095";"2822962";"278501";"98750";"21949";"6148";"5135";"4647";"4757";"63084";"22368";"876403";"176411";"685213";"35423";"1216";"486730";"5021";"257";"11512";"172264";"9764";"800109";"98296";"5575";"13813";"155403";"253480";"221067";"1469044";"706203";"1046568";"347180";"103";"1786421";"1099645";"682";"29162";"332";"24869";"2000079";"371636";"2279405";"280569";"194796";"1981860";"159658";"1182917";"1382097";"1130538";"12535";"108047";"3774320";"601399";"10348214";"174";"129721";"115951150"
