"Unidade da Federação";"Ate 30 dias";"30 dias a 1 ano";"2 meses";"3 meses";"4 meses";"5 meses";"6 meses";"7 meses";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"1 a 4 anos";"2 a 4 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"5 a 10 anos";"5 a 12 anos";"7 a 9 anos";"7 a 11 anos";"7 a 14 anos";"7 a 17 anos";"7 anos e mais";"9 a 12 anos";"10 a 11 anos";"10 a 14 anos";"11 a 14 anos";"7 a 8 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 49 anos";"15 a 59 anos";"17 a 19 anos";"18 a 19 anos";"20 a 24 anos";"20 a 59 anos";"20 a 26 anos";"27 e mais";"25 a 29 anos";"30 a 34 anos";"30 a 39 anos";"35 a 39 anos";"40 a 44 anos";"40 a 49 anos";"45 a 49 anos";"50 a 59 anos";"60 a 64 anos";"60 anos e mais";"65 a 69 anos";"65 anos e mais";"70 a 74 anos";"75 a 79 anos";"Gestantes 10 a 11 anos";"Gestantes 12 a 14 anos";"Gestantes 15 a 49 anos";"Não gestantes 12 a 14 anos";"Não gestantes 15 a 49 anos";"Ignorado";" Total"
"27 Alagoas";"42141";"102";"44290";"3291";"35838";"6598";"2138";"674";"533739";"349326";"16065";"7361";"99867";"66";"18";"19807";"10399";"31608";"18734";"11410";"5737";"1139";"309";"159";"136";"154";"755";"494";"1768";"4166";"831";"291";"0";"4";"3626";"15";"0";"50";"1238";"0";"1061";"1349";"8";"1370";"1996";"1820";"27618";"8360";"3809";"5738";"0";"59311";"11671";"819";"686";"60397";"15024";"14880";"13617";"12074";"19672";"9304";"17596";"197";"15498";"155";"32576";"96";"64";"818";"908";"49615";"4241";"143033";"14";"1789739"
"28 Sergipe";"29509";"165";"27319";"1197";"23945";"3048";"969";"264";"330566";"225430";"7713";"3346";"74086";"14";"2";"12660";"15879";"22069";"13452";"7143";"3600";"695";"161";"58";"50";"39";"42";"493";"431";"317";"655";"7";"0";"0";"1257";"4";"0";"25";"134";"0";"724";"19";"0";"1043";"232";"1613";"17860";"10113";"150";"4517";"0";"42539";"1867";"265";"145";"41620";"9664";"986";"9019";"7255";"352";"5763";"2290";"230";"1708";"218";"24459";"141";"125";"4";"12";"27058";"103";"104360";"10";"1123208"
"29 Bahia";"150272";"1600";"150067";"8167";"125884";"21510";"6006";"1746";"1945398";"1250505";"61241";"25284";"387029";"223";"96";"79574";"42412";"151605";"89609";"50537";"21395";"7407";"690";"371";"314";"307";"186";"2530";"5951";"2644";"3272";"245";"0";"12";"19497";"36";"1";"186";"392";"2";"4939";"565";"0";"12698";"442";"19592";"88078";"124362";"3609";"32988";"0";"174758";"2719";"1466";"1210";"211167";"91404";"7502";"99871";"83653";"1096";"66781";"24636";"1672";"11920";"1430";"191717";"1142";"863";"51";"53";"131950";"326";"615983";"914";"6625760"
"31 Minas Gerais";"213508";"2038";"233205";"7111";"212623";"19401";"6388";"1496";"2906838";"1875835";"39101";"16454";"611224";"158";"35";"133621";"63709";"271130";"126082";"63983";"27559";"10901";"2309";"1109";"956";"970";"799";"5476";"3186";"4297";"2468";"120";"0";"14";"13534";"20";"1";"90";"827";"0";"2923";"228";"0";"7133";"904";"16622";"67134";"149267";"4206";"35038";"0";"231245";"9949";"5556";"1748";"281588";"124428";"12123";"155932";"140087";"138";"118381";"89247";"3232";"91683";"2916";"790266";"2350";"1730";"29";"2";"205233";"22";"953592";"1251";"10384759"
"32 Espírito Santo";"46571";"150";"48783";"2088";"42208";"5858";"2952";"811";"600356";"395876";"18857";"8653";"117020";"19";"9";"26952";"13804";"66031";"34591";"22323";"14537";"3487";"1357";"445";"260";"165";"128";"669";"1549";"756";"4059";"77";"2";"0";"5210";"11";"0";"15";"568";"0";"3443";"178";"48";"3112";"454";"5555";"24462";"33411";"1519";"9942";"0";"56255";"3848";"1045";"779";"70556";"31076";"2905";"39248";"37482";"4742";"31912";"11893";"409";"10822";"365";"147091";"281";"212";"22";"62";"47741";"719";"239154";"136";"2308086"
"33 Rio de Janeiro";"113439";"1561";"158372";"10655";"139505";"20766";"7808";"2799";"1998350";"1391457";"100407";"40268";"359031";"274";"82";"52954";"38254";"95524";"77738";"48501";"25092";"4925";"1526";"799";"806";"666";"1529";"2652";"7803";"8979";"24891";"1014";"0";"5";"12108";"18";"0";"151";"2329";"2";"18997";"1790";"1";"3476";"2994";"4176";"44882";"87278";"49473";"9987";"0";"93833";"16618";"3073";"1761";"115287";"34723";"29894";"39634";"35100";"34796";"29259";"41028";"1585";"36435";"1397";"128679";"1037";"721";"400";"3226";"156215";"10086";"480479";"531";"6271891"
"35 São Paulo";"475379";"4075";"528124";"15832";"482498";"41783";"20855";"4696";"6457923";"4105878";"204080";"118887";"1391867";"1238";"463";"260914";"137879";"480378";"301254";"166863";"80902";"35742";"3907";"1362";"1291";"948";"973";"6436";"70220";"11241";"119898";"407";"145";"12";"177368";"19";"73";"1114";"4064";"0";"92401";"575";"82";"39775";"6989";"180574";"140098";"856878";"29799";"274244";"107";"808075";"57067";"6700";"3757";"982647";"405655";"34910";"437708";"423934";"51378";"370766";"790269";"3237";"367068";"2916";"1241714";"2250";"1588";"150";"298";"408183";"3001";"2437843";"2717";"26182341"
"41 Paraná";"111846";"583";"140538";"5287";"125841";"13923";"5800";"1301";"1775470";"1028553";"41830";"27713";"416064";"56";"36";"93876";"52490";"209785";"93095";"64203";"45119";"14188";"2377";"1640";"1381";"1261";"8";"1294";"3006";"1580";"66256";"164";"0";"5";"17665";"2";"0";"11";"256";"0";"48872";"206";"0";"10952";"388";"16704";"62114";"893158";"7982";"25534";"0";"136433";"6636";"6487";"1859";"180242";"78416";"4450";"98033";"94907";"8";"86182";"35535";"455";"24721";"418";"387229";"312";"196";"4";"3";"126172";"13";"718701";"569";"7418394"
"42 Santa Catarina";"78528";"329";"90714";"3499";"81788";"9452";"3442";"743";"1109424";"647778";"58714";"51270";"267735";"23";"15";"49317";"27509";"108476";"61250";"36942";"19088";"5266";"972";"274";"249";"122";"8";"885";"1594";"816";"165060";"44";"0";"2";"7221";"0";"0";"9";"381";"0";"149278";"62";"0";"3987";"351";"6618";"36548";"1238709";"6313";"18179";"0";"98082";"5712";"856";"422";"149584";"63066";"3098";"80728";"70310";"38";"61750";"45212";"182";"23586";"210";"303900";"136";"92";"0";"1";"74577";"9";"580523";"957";"5912015"
"43 Rio Grande do Sul";"110905";"671";"120262";"5575";"105371";"13691";"5022";"1498";"1490382";"898049";"49244";"23397";"341511";"157";"30";"47594";"29044";"111522";"64068";"36471";"20348";"4198";"1276";"601";"563";"484";"29";"1148";"2331";"1160";"20389";"71";"5";"1";"5678";"1";"2";"22";"228";"0";"22968";"101";"31";"3134";"644";"4695";"39658";"184224";"2157";"15064";"1";"84816";"7299";"2282";"1206";"103966";"31415";"1955";"36598";"29761";"660";"24875";"13584";"595";"19048";"521";"181753";"365";"271";"36";"40";"103865";"9";"358429";"497";"4789522"
"50 Mato Grosso do Sul";"49827";"119";"41054";"2411";"36340";"4686";"1834";"530";"540735";"308439";"12267";"5249";"105262";"16";"9";"14740";"9678";"31269";"19391";"10750";"5705";"1182";"315";"185";"127";"146";"1027";"425";"1393";"3269";"706";"220";"8";"0";"3575";"12";"13";"109";"1229";"0";"1535";"517";"24";"1795";"1369";"2315";"17484";"27610";"10307";"5005";"5";"34131";"9739";"765";"617";"38589";"10794";"12708";"10519";"8653";"20982";"7644";"22296";"169";"32881";"135";"35338";"104";"73";"53";"335";"43743";"3804";"114722";"338";"1691350"
"51 Mato Grosso";"49798";"321";"47215";"2820";"40641";"6886";"1900";"631";"616124";"351125";"17129";"6997";"114492";"41";"14";"20283";"21087";"37080";"25864";"13151";"5964";"1589";"290";"152";"106";"86";"36";"771";"1141";"1151";"1468";"43";"0";"6";"4682";"5";"0";"10";"905";"0";"2891";"100";"3";"3739";"971";"3873";"29910";"60728";"1203";"6885";"0";"47775";"3009";"721";"469";"51573";"13140";"1745";"12180";"9661";"1124";"7462";"7504";"511";"4304";"456";"45624";"382";"279";"8";"88";"50852";"387";"172006";"294";"1933861"
"52 Goiás";"73495";"559";"79927";"4420";"67694";"11550";"4408";"1167";"1007060";"571594";"29640";"11312";"178288";"56";"15";"34592";"18861";"72673";"39126";"20727";"11936";"2305";"677";"182";"206";"156";"37";"1877";"1098";"1191";"1162";"54";"3";"1";"3773";"3";"0";"24";"263";"1";"1412";"102";"0";"2014";"257";"3047";"33814";"73891";"1480";"8400";"0";"73450";"2718";"982";"502";"86756";"25134";"2573";"25027";"20949";"100";"16431";"8446";"752";"7478";"597";"71590";"463";"331";"12";"0";"73318";"43";"255701";"417";"3050300"
"53 Distrito Federal";"48049";"133";"37322";"1124";"33681";"3147";"2040";"443";"462882";"258751";"9933";"4187";"93832";"18";"15";"14572";"7657";"35421";"18204";"9621";"3527";"1367";"56";"33";"34";"32";"11";"415";"370";"426";"440";"24";"0";"0";"1903";"2";"1";"3";"234";"0";"533";"22";"0";"1017";"227";"2456";"12546";"39881";"439";"6870";"2";"46051";"1938";"568";"146";"51911";"19399";"878";"22218";"19602";"500";"15639";"5249";"179";"2968";"146";"38428";"102";"74";"2";"0";"35630";"26";"130025";"242";"1505824"
"Total";"2299029";"20915";"2436145";"130173";"2112527";"296644";"109450";"31875";"30592513";"19036756";"1030520";"516100";"6142164";"3814";"1266";"1185587";"679418";"2322521";"1341593";"766147";"380526";"113904";"19367";"8735";"7923";"6728";"8518";"40742";"138159";"76141";"429303";"4647";"164";"102";"362024";"477";"151";"2518";"29462";"23";"381001";"11809";"278";"140512";"42112";"328897";"1032378";"4250289";"155318";"577976";"179";"2790929";"230106";"38788";"19912";"3273626";"1184620";"225158";"1292770";"1161278";"213208";"983782";"1243704";"21989";"744692";"19736";"4087009";"15331";"11530";"2915";"8493";"2279628";"44744";"9375272";"11958";"108886698"
