"Unidade da Federação";"Ate 30 dias";"2 meses";"3 meses";"4 meses";"5 meses";"6 meses";"7 meses";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"1 a 4 anos";"2 a 4 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"5 a 10 anos";"5 a 12 anos";"7 a 11 anos";"7 a 14 anos";"7 a 17 anos";"7 anos e mais";"9 a 12 anos";"10 a 14 anos";"11 a 14 anos";"7 a 8 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 49 anos";"15 a 59 anos";"17 a 19 anos";"18 a 19 anos";"20 a 24 anos";"20 a 59 anos";"20 a 26 anos";"27 e mais";"25 a 29 anos";"30 a 34 anos";"30 a 39 anos";"35 a 39 anos";"40 a 44 anos";"40 a 49 anos";"45 a 49 anos";"50 a 59 anos";"60 anos e mais";"65 anos e mais";"Gestantes 10 a 11 anos";"Gestantes 12 a 14 anos";"Gestantes 15 a 49 anos";"Não gestantes 12 a 14 anos";"Não gestantes 15 a 49 anos";"Ignorado";" Total"
"27 Alagoas";"47313";"44978";"4378";"32914";"6448";"2304";"806";"558733";"367374";"22293";"8083";"88841";"919";"519";"31324";"18216";"26210";"54432";"45986";"15866";"965";"327";"312";"441";"296";"1556";"40";"3089";"2630";"1148";"804";"12";"5431";"59";"0";"3";"3140";"1380";"3875";"73";"1407";"4246";"1056";"34546";"3893";"13396";"2580";"8";"31533";"19102";"2174";"594";"28942";"2059";"24780";"1399";"930";"25930";"680";"18845";"19631";"9571";"418";"2052";"52655";"11703";"109314";"992";"1827954"
"28 Sergipe";"32543";"27047";"1996";"21761";"3873";"1209";"453";"337640";"217277";"10067";"3113";"52752";"460";"278";"16818";"11086";"15870";"40220";"31802";"9126";"148";"7";"15";"17";"11";"195";"3";"557";"360";"1741";"44";"0";"1078";"34";"0";"0";"477";"872";"240";"3";"667";"1142";"970";"19030";"14201";"1779";"2547";"0";"21681";"6377";"75";"189";"19383";"2668";"8007";"1663";"755";"5062";"474";"3392";"3436";"13419";"27";"176";"18632";"1239";"89171";"337";"1077692"
"29 Bahia";"155245";"143676";"15650";"111330";"26932";"8664";"3019";"2083975";"1228490";"72011";"25614";"333754";"3812";"2576";"99894";"58907";"74859";"199162";"159197";"48188";"2336";"414";"534";"464";"467";"1008";"89";"7648";"2344";"103653";"1300";"0";"16405";"129";"2";"18";"2599";"132673";"2974";"19";"8786";"3174";"6093";"101710";"779070";"288089";"12448";"4";"112620";"17795";"2306";"1622";"125534";"17776";"62340";"16332";"11785";"58786";"9366";"42791";"35947";"128208";"537";"1232";"89969";"9650";"677566";"4287";"7755854"
"31 Minas Gerais";"218283";"215414";"16883";"179495";"32351";"11347";"2955";"2967145";"1878607";"61812";"25282";"547201";"1385";"1139";"147838";"71657";"100445";"364834";"285585";"59165";"2785";"471";"829";"949";"926";"328";"76";"4152";"492";"302349";"189";"1";"7390";"5";"1";"1";"459";"336036";"506";"13";"5436";"946";"5626";"76952";"3831068";"384493";"15662";"1";"118775";"4989";"5981";"1212";"181184";"35275";"40531";"39980";"32783";"22042";"30119";"36172";"68471";"712479";"28";"142";"122119";"1573";"1277588";"5850";"14904258"
"32 Espírito Santo";"47026";"46301";"3396";"37107";"6412";"1929";"793";"607832";"416899";"70273";"56399";"143064";"855";"656";"25926";"13782";"20116";"63385";"52807";"13993";"791";"281";"360";"331";"291";"417";"87";"2999";"1873";"220925";"552";"4";"3525";"55";"2";"167";"1798";"247346";"1034";"76";"1357";"2697";"1437";"15450";"636976";"1331415";"3798";"2";"22478";"15157";"2023";"1154";"26546";"6491";"24385";"7052";"5435";"27860";"4207";"23634";"168405";"57323";"104";"435";"44803";"5540";"148706";"2222";"4698957"
"33 Rio de Janeiro";"220989";"190585";"21858";"148298";"23055";"10998";"5535";"2624698";"1708500";"196830";"146532";"472448";"6400";"4553";"85002";"59738";"82486";"209188";"187486";"57994";"10206";"4954";"5523";"6421";"6262";"6867";"1142";"26830";"18246";"508463";"4803";"18";"25643";"141";"98";"1086";"16538";"571960";"9100";"223";"2994";"21710";"2216";"73264";"437421";"3488448";"6298";"64";"88082";"140467";"40326";"3299";"103132";"9197";"143899";"8114";"5530";"170434";"4138";"132748";"264068";"26386";"1126";"7404";"214008";"56493";"494901";"7361";"13641225"
"35 São Paulo";"573530";"553135";"21956";"488088";"44739";"22429";"4763";"7166986";"4233486";"257849";"144068";"1021742";"21372";"9733";"270854";"146175";"205396";"609476";"480514";"118619";"8555";"1859";"2042";"1878";"1857";"2180";"1783";"53331";"19323";"551384";"1568";"874";"26143";"119";"206";"2547";"18379";"439133";"2411";"730";"20341";"22610";"31218";"130616";"2946352";"339240";"59241";"191";"262995";"115212";"11080";"13909";"354573";"99400";"171383";"101797";"80551";"151466";"65033";"164107";"209630";"882043";"276";"838";"302290";"10948";"1893532";"13388";"25985472"
"41 Paraná";"120335";"134794";"9452";"113768";"18883";"6532";"1694";"1794266";"1021086";"48443";"18288";"286543";"1112";"747";"63355";"34325";"48889";"162639";"121703";"32476";"4233";"775";"1047";"1153";"1113";"133";"261";"2202";"1064";"32810";"13";"11";"4630";"0";"1";"0";"1089";"51365";"59";"6";"3755";"1576";"3087";"32074";"217665";"1009";"11767";"3";"56465";"9037";"5930";"2839";"62575";"15007";"14560";"16888";"13957";"844";"12037";"5531";"14309";"147403";"8";"14";"107076";"350";"416056";"1018";"5314135"
"42 Santa Catarina";"73479";"81959";"6121";"68211";"12766";"3803";"1042";"1024422";"613937";"21994";"8932";"166229";"771";"447";"44342";"22486";"33820";"119702";"94876";"24346";"658";"71";"70";"61";"72";"20";"54";"1460";"104";"55906";"45";"0";"3105";"1";"0";"0";"79";"14967";"63";"1";"2836";"154";"2377";"20278";"114366";"4549";"6770";"0";"33970";"1503";"547";"2953";"46573";"11470";"16550";"11649";"8836";"2688";"7650";"9662";"8516";"167683";"1";"28";"45988";"603";"288576";"947";"3318145"
"43 Rio Grande do Sul";"109215";"111674";"9387";"89848";"18319";"6813";"1980";"1517817";"886047";"48552";"19258";"233207";"1905";"1378";"51140";"33194";"48780";"147519";"122937";"30756";"2998";"259";"354";"328";"293";"80";"83";"3111";"832";"32453";"268";"27";"5714";"0";"9";"71";"964";"37138";"275";"46";"4456";"1170";"3367";"42376";"155639";"9005";"12220";"0";"49904";"7641";"1619";"1842";"49659";"10722";"14246";"9965";"7379";"4866";"6044";"7496";"13146";"114977";"29";"80";"54298";"1415";"346463";"2395";"4507448"
"50 Mato Grosso do Sul";"45437";"39935";"2890";"32935";"5113";"1851";"525";"536756";"291106";"12591";"4607";"85923";"479";"372";"18586";"11131";"14428";"42253";"32822";"7538";"830";"423";"477";"555";"666";"1116";"111";"2545";"1642";"16010";"192";"5";"3691";"18";"2";"127";"1568";"20753";"726";"33";"1298";"1977";"1359";"21484";"52614";"33072";"3787";"12";"25278";"10700";"3402";"297";"26851";"5157";"21044";"4452";"3309";"26428";"2674";"23392";"26614";"27942";"105";"332";"37528";"5396";"125022";"349";"1730643"
"51 Mato Grosso";"49832";"44854";"4116";"35658";"6609";"2209";"730";"623586";"345777";"18016";"6784";"103160";"1098";"686";"24581";"15737";"19142";"59215";"44188";"12098";"532";"177";"192";"169";"302";"559";"63";"3408";"1955";"20742";"605";"6";"4772";"42";"1";"3";"2194";"26403";"1882";"16";"3358";"2637";"1785";"32430";"89327";"48008";"3621";"0";"37126";"11154";"1340";"619";"39960";"4900";"22635";"3889";"2850";"25094";"2303";"17889";"14028";"33781";"44";"722";"42821";"6314";"200132";"1166";"2132032"
"52 Goiás";"70664";"77523";"6374";"62379";"12801";"4303";"1432";"1042170";"599512";"34601";"11314";"162725";"1366";"919";"42267";"29324";"38887";"104757";"82719";"21128";"438";"99";"55";"105";"113";"12";"70";"3022";"301";"24164";"206";"5";"5460";"17";"1";"0";"572";"33965";"685";"60";"2729";"604";"1913";"38124";"211256";"8460";"5997";"5";"55105";"4164";"494";"398";"58432";"9269";"12131";"8329";"6167";"5426";"4877";"7993";"7957";"71847";"57";"212";"61759";"3591";"284369";"1466";"3349646"
"53 Distrito Federal";"46089";"36432";"1671";"31283";"4052";"1439";"418";"480239";"272897";"10280";"3199";"76436";"440";"177";"16589";"9975";"14013";"36735";"26606";"6490";"344";"106";"104";"104";"101";"4";"78";"796";"390";"13400";"197";"8";"1914";"1";"3";"2";"186";"16780";"80";"14";"1469";"206";"1298";"12054";"110092";"1526";"4672";"0";"25304";"1991";"766";"1291";"29890";"6586";"4631";"5941";"3940";"1054";"2933";"1703";"1751";"30247";"1";"2";"10154";"23";"141507";"404";"1511508"
"Total";"2557096";"2409156";"198290";"1959611";"335696";"127105";"42062";"32361728";"19416692";"1277836";"649545";"5100893";"58806";"36644";"1352809";"810468";"1093532";"3104715";"2477006";"650169";"47355";"14972";"17312";"18193";"18019";"23187";"4812";"160188";"83823";"2081522";"16215";"971";"194920";"1732";"358";"4124";"87286";"2154070";"44680";"1616";"93464";"114840";"87629";"1094860";"10364550";"6169751";"199133";"316";"1401137";"558447";"108018";"48612";"1606210";"295108";"835657";"282501";"213704";"730628";"174035";"658830";"1040101";"2720222";"5030";"25254";"1818065";"191719";"8461249";"59338";"120353622"
