"Unidade da Federação";"Ate 30 dias";"2 meses";"3 meses";"4 meses";"5 meses";"6 meses";"7 meses";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"1 a 4 anos";"2 a 4 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"5 a 10 anos";"5 a 12 anos";"7 a 11 anos";"7 a 14 anos";"7 a 17 anos";"7 anos e mais";"9 a 12 anos";"10 a 14 anos";"11 a 14 anos";"7 a 8 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 49 anos";"15 a 59 anos";"17 a 19 anos";"18 a 19 anos";"20 a 24 anos";"20 a 59 anos";"20 a 26 anos";"27 e mais";"25 a 29 anos";"30 a 34 anos";"30 a 39 anos";"35 a 39 anos";"40 a 44 anos";"40 a 49 anos";"45 a 49 anos";"50 a 59 anos";"60 anos e mais";"65 anos e mais";"Gestantes 10 a 11 anos";"Gestantes 12 a 14 anos";"Gestantes 15 a 49 anos";"Não gestantes 12 a 14 anos";"Não gestantes 15 a 49 anos";"Homens 15 a 49 anos";"Ignorado";" Total"
"28 Sergipe";"32542";"27799";"280";"23869";"3023";"806";"312";"340787";"220144";"5470";"2074";"45516";"0";"12";"11783";"6282";"4184";"4567";"1457";"520";"27";"11";"2";"2";"6";"273";"0";"497";"436";"270";"58";"0";"977";"17";"0";"0";"602";"100";"200";"1";"1298";"1246";"2074";"16704";"294";"2503";"4365";"0";"20638";"7991";"31";"32";"17422";"3489";"6330";"1915";"762";"3530";"322";"2169";"2794";"8279";"8";"217";"15855";"1241";"65383";"0";"0";"921798"
"29 Bahia";"146101";"146090";"4781";"119204";"17815";"5036";"1601";"2044146";"1206945";"54337";"27323";"419222";"358";"59";"55846";"31058";"24918";"26756";"10429";"3203";"553";"86";"46";"40";"49";"3131";"261";"10480";"4896";"92582";"1663";"0";"16829";"289";"9";"18";"6094";"108201";"3941";"78";"8670";"8150";"7899";"69326";"1416";"97179";"11854";"8";"83194";"35196";"396";"192";"83214";"18598";"66517";"14012";"9589";"57554";"8284";"42580";"40933";"87288";"667";"2981";"106993";"19250";"345706";"0";"15";"5822135"
"31 Minas Gerais";"202792";"230395";"502";"209960";"21015";"5732";"1543";"3063207";"2049590";"76414";"32405";"722865";"128";"77";"114351";"43360";"24961";"24595";"8243";"3465";"585";"248";"250";"213";"200";"590";"45";"5339";"1325";"219277";"213";"1";"7417";"32";"3";"27";"1406";"240576";"750";"47";"6436";"1402";"6520";"54006";"2459";"233865";"13213";"1";"74054";"8162";"996";"861";"98774";"23561";"32697";"22154";"16634";"13810";"14764";"18040";"24477";"310991";"81";"349";"92491";"2397";"584311";"66947";"4";"9038601"
"32 Espírito Santo";"45116";"49060";"1672";"42923";"4855";"1401";"725";"608942";"424153";"13110";"4682";"86128";"51";"6";"21510";"9358";"5390";"6644";"2568";"1166";"204";"89";"98";"67";"82";"789";"70";"3501";"2421";"1321";"434";"40";"4654";"81";"4";"200";"2762";"1282";"588";"92";"2218";"3500";"2376";"11412";"229";"12676";"8785";"1";"27897";"18837";"627";"1028";"30096";"16550";"19129";"14966";"10708";"17236";"8376";"16442";"18562";"18993";"112";"430";"44669";"7419";"106813";"3191";"3";"1771520"
"33 Rio de Janeiro";"200474";"211887";"12208";"182905";"18066";"8598";"2947";"2613608";"1611680";"67426";"20965";"310034";"216";"48";"81492";"49169";"41912";"41550";"21496";"4757";"1005";"286";"250";"155";"177";"6754";"849";"27540";"12638";"1901";"4442";"7";"32291";"123";"144";"652";"12546";"3201";"7475";"278";"6540";"19206";"4743";"66358";"89";"58889";"11076";"46";"93837";"96187";"1692";"1129";"104873";"22887";"123495";"19157";"13557";"137704";"10702";"102303";"116374";"11276";"1058";"7177";"186673";"51805";"407469";"3222";"29";"7293705"
"35 São Paulo";"562238";"542826";"3822";"496930";"35578";"21005";"4221";"6824263";"4180580";"147177";"59521";"1164053";"14585";"575";"184217";"91786";"59394";"63308";"22140";"10552";"4115";"1614";"1617";"1483";"1228";"3936";"2532";"113173";"29277";"123979";"1918";"325";"24690";"131";"123";"2244";"21572";"73144";"2926";"1465";"24458";"32316";"56788";"109252";"1654";"260636";"99809";"165";"291842";"169744";"10889";"8488";"345223";"179566";"175338";"154592";"111581";"140464";"88071";"135953";"147109";"268911";"539";"1454";"252346";"14954";"1128411";"167901";"263";"19278980"
"41 Paraná";"121002";"140278";"139";"123358";"14609";"5144";"1335";"1806790";"1040426";"52044";"22576";"335722";"12";"0";"57692";"30261";"22831";"18381";"6579";"3290";"275";"213";"251";"341";"550";"347";"81";"2207";"2664";"75423";"7";"12";"3743";"6";"0";"0";"3786";"101312";"83";"36";"4074";"5654";"4109";"31410";"2713";"129009";"11241";"6";"47336";"24153";"1605";"1819";"52041";"16100";"13876";"14174";"10246";"1038";"8690";"5167";"14706";"129250";"5";"31";"67543";"745";"283858";"71589";"0";"4945994"
"42 Santa Catarina";"80758";"87077";"1161";"77218";"8154";"3082";"765";"1126813";"681003";"46189";"35691";"215172";"58";"10";"33441";"13043";"7412";"7783";"2691";"1208";"664";"255";"172";"170";"305";"274";"226";"2965";"2459";"40529";"461";"0";"3898";"116";"7";"57";"4103";"16215";"698";"103";"4422";"4740";"4987";"18368";"868";"49921";"11785";"4";"32916";"67392";"1765";"1833";"40219";"16492";"31705";"13646";"10442";"26068";"8960";"32619";"35037";"300639";"40";"202";"42614";"8071";"212464";"12480";"1";"3493106"
"43 Rio Grande do Sul";"104152";"121818";"1364";"103137";"13594";"4796";"1307";"1590366";"937108";"51645";"22375";"328633";"141";"20";"41595";"18605";"9000";"13183";"3504";"1270";"373";"201";"212";"180";"185";"171";"123";"5749";"2534";"47186";"615";"24";"9289";"7";"8";"89";"2254";"41892";"722";"85";"8884";"2367";"9698";"32386";"722";"43239";"26187";"11";"50971";"18728";"1039";"1011";"48688";"22128";"15857";"17658";"12728";"8538";"9758";"11681";"12783";"82000";"161";"341";"46343";"4824";"241431";"15885";"1";"4225560"
"50 Mato Grosso do Sul";"43391";"41560";"933";"35484";"4608";"1832";"426";"562103";"319788";"11790";"5057";"119398";"80";"0";"13458";"8118";"5770";"5439";"2140";"787";"98";"62";"44";"43";"44";"1191";"299";"2751";"1758";"22421";"302";"0";"4093";"15";"2";"109";"1572";"27802";"837";"53";"1658";"2129";"1825";"20758";"178";"44754";"4943";"1";"23740";"11273";"297";"179";"23244";"5552";"16935";"4289";"3020";"16308";"2176";"12686";"20005";"22053";"37";"331";"30981";"5229";"83999";"9290";"0";"1613528"
"51 Mato Grosso";"50867";"46451";"1757";"39594";"6666";"2181";"707";"676468";"373042";"14236";"6258";"132490";"24";"34";"20220";"11718";"8271";"11107";"3659";"1338";"158";"59";"34";"40";"59";"845";"72";"2838";"2341";"31188";"702";"0";"6151";"100";"0";"8";"2760";"37119";"2139";"9";"4415";"3967";"2410";"27054";"1370";"60512";"4366";"0";"30357";"19917";"288";"261";"31723";"3886";"18399";"2930";"1928";"18348";"1724";"12614";"12203";"20703";"86";"824";"36852";"8518";"139280";"3085";"1";"1961731"
"52 Goiás";"68527";"78153";"2437";"65278";"13323";"4855";"1797";"1085065";"612522";"29464";"11657";"216200";"241";"41";"27291";"15666";"11357";"10804";"4283";"1371";"491";"210";"220";"259";"223";"318";"39";"8907";"1719";"60251";"152";"0";"6214";"39";"11";"1";"1919";"60456";"1511";"31";"3072";"2923";"2788";"29430";"1062";"102800";"8081";"11";"39793";"13443";"679";"447";"40385";"13202";"12759";"11194";"7156";"8322";"5334";"9162";"10945";"37859";"46";"353";"60298";"6341";"175234";"15327";"1";"3021750"
"53 Distrito Federal";"60212";"60128";"1430";"52913";"2812";"1722";"372";"834336";"439927";"18836";"11201";"172844";"335";"77";"16721";"11772";"4691";"6272";"1128";"390";"311";"194";"224";"196";"203";"2158";"398";"5403";"10510";"38149";"871";"4";"9001";"80";"24";"183";"11028";"55842";"1443";"132";"5854";"22709";"7814";"18474";"148";"55553";"16947";"10";"44653";"47724";"926";"1917";"49542";"16828";"48127";"13684";"8834";"46468";"5754";"23968";"41036";"4222";"300";"529";"47481";"8495";"102008";"0";"1";"2474479"
"Total";"2434373";"2535917";"63471";"2179643";"269132";"102699";"31240";"33163345";"20002807";"884761";"400700";"5787587";"16987";"1154";"988868";"518435";"363095";"373069";"141822";"47842";"10510";"3993";"3727";"3520";"3662";"34065";"6185";"242462";"109059";"984184";"17755";"414";"214661";"2665";"340";"3761";"106713";"1029302";"48729";"2880";"129584";"164239";"156200";"887310";"22023";"1502569";"308249";"275";"1273392";"757062";"23462";"22161";"1355942";"442259";"828362";"364364";"255542";"690904";"201221";"571542";"667178";"1567844";"6826";"33844";"1674241";"244168";"5235563";"383147";"415";"92905422"
